7625392187163515|11|2024|535
7625392505815648|08|2027|843
7625392242733146|05|2025|152
7625392222451370|02|2027|061
7625392726386742|06|2025|373
7625392107283872|11|2026|284
7625392446775356|04|2025|278
7625392335144813|07|2027|028
7625392815776118|02|2026|784
7625392462336653|06|2024|650
7625392131860422|09|2026|483
7625392725686324|08|2026|040
7625392425810240|02|2024|862
7625392726141162|01|2024|141
7625392017133845|02|2025|352
7625392751830424|09|2027|463
7625392143601871|10|2026|222
7625392088348652|11|2025|064
7625392441310886|07|2024|260
7625392282128637|06|2025|027
7625392864515045|09|2027|373
7625392738428102|01|2025|417
7625392233361121|08|2024|253
7625392752857681|07|2024|701
7625392644864325|05|2024|470
7625392748700888|01|2024|684
7625392022232756|04|2024|605
7625392004107414|07|2024|384
7625392340702084|08|2027|020
7625392601276117|08|2025|234
7625392583160768|05|2027|501
7625392563222851|08|2025|310
7625392585608780|08|2025|324
7625392853486513|02|2026|604
7625392484767828|05|2025|434
7625392640270808|05|2026|657
7625392461272651|11|2026|827
7625392504227084|02|2026|231
7625392366702232|11|2025|005
7625392208468125|07|2024|512
7625392662328476|07|2027|861
7625392424286848|05|2025|751
7625392063050265|06|2027|366
7625392086375517|11|2024|413
7625392804770064|09|2026|435
7625392661352154|10|2025|085
7625392824608310|02|2024|151
7625392562675265|02|2024|187
7625392414645177|11|2026|654
7625392137806270|10|2027|001
7625392724356051|05|2026|017
7625392635837843|04|2025|382
7625392477881768|12|2025|285
7625392080004428|07|2024|631
7625392586643844|10|2025|044
7625392783182703|05|2025|510
7625392757455234|02|2025|678
7625392762685387|01|2027|285
7625392574202785|06|2025|355
7625392518011805|08|2027|127
7625392628413867|06|2024|802
7625392371033730|11|2026|241
7625392588676206|02|2024|065
7625392160777273|11|2026|535
7625392670708065|02|2026|086
7625392702682072|12|2026|826
7625392356143884|03|2025|600
7625392574241874|07|2027|334
7625392075351750|04|2024|040
7625392842736382|04|2025|588
7625392465413046|06|2024|815
7625392508132124|07|2027|408
7625392178020716|06|2027|408
7625392660660805|10|2025|807
7625392281136540|07|2025|842
7625392038043551|12|2024|127
7625392275815661|09|2025|707
7625392610421324|06|2026|124
7625392212718846|11|2026|263
7625392737217514|05|2027|802
7625392458316628|04|2025|263
7625392234032614|02|2027|016
7625392785643033|06|2026|644
7625392725645304|12|2026|785
7625392426308236|08|2027|848
7625392810648023|04|2025|567
7625392463506577|12|2025|361
7625392711066630|04|2026|688
7625392466170652|09|2025|743
